CPU 3 is empty
cpus=4
             ssh-24203 [001] 76740.104108: funcgraph_entry:        0.154 us   |                    __rcu_read_lock();
             ssh-24203 [001] 76740.104108: funcgraph_entry:        0.145 us   |                    available_idle_cpu();
             ssh-24203 [001] 76740.104108: funcgraph_entry:        0.772 us   |                    update_cfs_rq_h_load();
             ssh-24203 [001] 76740.104109: funcgraph_entry:                   |                    select_idle_sibling() {
             ssh-24203 [001] 76740.104109: funcgraph_entry:        0.279 us   |                      available_idle_cpu();
             ssh-24203 [001] 76740.104110: funcgraph_exit:         0.641 us   |                    }
             ssh-24203 [001] 76740.104110: funcgraph_entry:        0.150 us   |                    __rcu_read_unlock();
             ssh-24203 [001] 76740.104110: funcgraph_exit:         2.772 us   |                  }
             ssh-24203 [001] 76740.104110: funcgraph_entry:                   |                  _raw_spin_lock() {
             ssh-24203 [001] 76740.104111: funcgraph_entry:        0.147 us   |                    preempt_count_add();
             ssh-24203 [001] 76740.104111: funcgraph_exit:         0.473 us   |                  }
             ssh-24203 [001] 76740.104111: funcgraph_entry:        0.224 us   |                  update_rq_clock();
             ssh-24203 [001] 76740.104111: funcgraph_entry:                   |                  ttwu_do_activate() {
             ssh-24203 [001] 76740.104112: funcgraph_entry:                   |                    activate_task() {
             ssh-24203 [001] 76740.104112: funcgraph_entry:                   |                      psi_task_change() {
             ssh-24203 [001] 76740.104112: funcgraph_entry:        0.372 us   |                        record_times();
             ssh-24203 [001] 76740.104113: funcgraph_entry:        0.276 us   |                        record_times();
             ssh-24203 [001] 76740.104113: funcgraph_entry:        0.213 us   |                        record_times();
             ssh-24203 [001] 76740.104113: funcgraph_entry:        0.341 us   |                        record_times();
             ssh-24203 [001] 76740.104114: funcgraph_exit:         2.073 us   |                      }
             ssh-24203 [001] 76740.104114: funcgraph_entry:                   |                      enqueue_task_fair() {
             ssh-24203 [001] 76740.104114: funcgraph_entry:                   |                        enqueue_entity() {
             ssh-24203 [001] 76740.104114: funcgraph_entry:        0.156 us   |                          update_curr();
             ssh-24203 [001] 76740.104115: funcgraph_entry:                   |                          __update_load_avg_se() {
             ssh-24203 [001] 76740.104115: funcgraph_entry:        0.163 us   |                            __accumulate_pelt_segments();
             ssh-24203 [001] 76740.104115: funcgraph_exit:         0.551 us   |                          }
             ssh-24203 [001] 76740.104115: funcgraph_entry:                   |                          __update_load_avg_cfs_rq() {
             ssh-24203 [001] 76740.104115: funcgraph_entry:        0.155 us   |                            __accumulate_pelt_segments();
             ssh-24203 [001] 76740.104116: funcgraph_exit:         0.474 us   |                          }
             ssh-24203 [001] 76740.104116: funcgraph_entry:        0.156 us   |                          update_cfs_group();
             ssh-24203 [001] 76740.104116: funcgraph_entry:        0.224 us   |                          account_entity_enqueue();
             ssh-24203 [001] 76740.104117: funcgraph_entry:        0.145 us   |                          place_entity();
             ssh-24203 [001] 76740.104117: funcgraph_entry:        0.171 us   |                          __enqueue_entity();
             ssh-24203 [001] 76740.104117: funcgraph_exit:         3.116 us   |                        }
             ssh-24203 [001] 76740.104117: funcgraph_entry:                   |                        enqueue_entity() {
             ssh-24203 [001] 76740.104118: funcgraph_entry:        0.158 us   |                          update_curr();
             ssh-24203 [001] 76740.104118: funcgraph_entry:                   |                          __update_load_avg_se() {
             ssh-24203 [001] 76740.104118: funcgraph_entry:        0.157 us   |                            __accumulate_pelt_segments();
             ssh-24203 [001] 76740.104118: funcgraph_exit:         0.533 us   |                          }
             ssh-24203 [001] 76740.104119: funcgraph_entry:                   |                          __update_load_avg_cfs_rq() {
             ssh-24203 [001] 76740.104119: funcgraph_entry:        0.208 us   |                            __accumulate_pelt_segments();
             ssh-24203 [001] 76740.104119: funcgraph_exit:         0.521 us   |                          }
             ssh-24203 [001] 76740.104119: funcgraph_entry:                   |                          update_cfs_group() {
             ssh-24203 [001] 76740.104119: funcgraph_entry:        0.176 us   |                            reweight_entity();
             ssh-24203 [001] 76740.104120: funcgraph_exit:         0.569 us   |                          }
             ssh-24203 [001] 76740.104120: funcgraph_entry:        0.157 us   |                          account_entity_enqueue();
             ssh-24203 [001] 76740.104120: funcgraph_entry:        0.153 us   |                          place_entity();
             ssh-24203 [001] 76740.104121: funcgraph_entry:        0.158 us   |                          __enqueue_entity();
             ssh-24203 [001] 76740.104121: funcgraph_exit:         3.497 us   |                        }
             ssh-24203 [001] 76740.104121: funcgraph_entry:        0.138 us   |                        hrtick_update();
             ssh-24203 [001] 76740.104121: funcgraph_exit:         7.342 us   |                      }
             ssh-24203 [001] 76740.104121: funcgraph_exit:         9.855 us   |                    }
             ssh-24203 [001] 76740.104122: funcgraph_entry:                   |                    ttwu_do_wakeup.isra.4() {
             ssh-24203 [001] 76740.104122: funcgraph_entry:                   |                      check_preempt_curr() {
             ssh-24203 [001] 76740.104122: funcgraph_entry:        0.307 us   |                        resched_curr();
             ssh-24203 [001] 76740.104122: funcgraph_exit:         0.718 us   |                      }
             ssh-24203 [001] 76740.104123: funcgraph_exit:         1.176 us   |                    }
             ssh-24203 [001] 76740.104177: funcgraph_exit:         6.926 us   |            }
             ssh-24203 [001] 76740.104177: funcgraph_exit:         7.793 us   |          }
             ssh-24203 [001] 76740.104177: funcgraph_exit:         8.303 us   |        }
             ssh-24203 [001] 76740.104178: funcgraph_exit:         8.892 us   |      }
