CPU 1 is empty
CPU 2 is empty
cpus=4
             ssh-24099 [003] 76622.720636: funcgraph_entry:        1.011 us   |                                        record_times();
             ssh-24099 [003] 76622.720638: funcgraph_entry:        0.719 us   |                                        record_times();
             ssh-24099 [003] 76622.720639: funcgraph_entry:        0.555 us   |                                        record_times();
             ssh-24099 [003] 76622.720639: funcgraph_entry:        0.329 us   |                                        record_times();
             ssh-24099 [003] 76622.720640: funcgraph_exit:         4.752 us   |                                      }
             ssh-24099 [003] 76622.720640: funcgraph_entry:                   |                                      enqueue_task_fair() {
             ssh-24099 [003] 76622.720641: funcgraph_entry:                   |                                        enqueue_entity() {
             ssh-24099 [003] 76622.720641: funcgraph_entry:        0.362 us   |                                          update_curr();
             ssh-24099 [003] 76622.720642: funcgraph_entry:                   |                                          __update_load_avg_se() {
             ssh-24099 [003] 76622.720642: funcgraph_entry:        0.348 us   |                                            __accumulate_pelt_segments();
             ssh-24099 [003] 76622.720643: funcgraph_exit:         1.217 us   |                                          }
             ssh-24099 [003] 76622.720643: funcgraph_entry:                   |                                          __update_load_avg_cfs_rq() {
             ssh-24099 [003] 76622.720644: funcgraph_entry:        0.354 us   |                                            __accumulate_pelt_segments();
             ssh-24099 [003] 76622.720644: funcgraph_exit:         1.114 us   |                                          }
             ssh-24099 [003] 76622.720645: funcgraph_entry:        0.333 us   |                                          update_cfs_group();
             ssh-24099 [003] 76622.720646: funcgraph_entry:        0.468 us   |                                          account_entity_enqueue();
             ssh-24099 [003] 76622.720646: funcgraph_entry:        0.358 us   |                                          place_entity();
             ssh-24099 [003] 76622.720647: funcgraph_entry:        0.357 us   |                                          __enqueue_entity();
             ssh-24099 [003] 76622.720648: funcgraph_exit:         6.875 us   |                                        }
             ssh-24099 [003] 76622.720648: funcgraph_entry:                   |                                        enqueue_entity() {
             ssh-24099 [003] 76622.720648: funcgraph_entry:        0.315 us   |                                          update_curr();
             ssh-24099 [003] 76622.720649: funcgraph_entry:                   |                                          __update_load_avg_se() {
             ssh-24099 [003] 76622.720649: funcgraph_entry:        0.332 us   |                                            __accumulate_pelt_segments();
             ssh-24099 [003] 76622.720650: funcgraph_exit:         0.998 us   |                                          }
             ssh-24099 [003] 76622.720650: funcgraph_entry:                   |                                          __update_load_avg_cfs_rq() {
             ssh-24099 [003] 76622.720651: funcgraph_entry:        0.319 us   |                                            __accumulate_pelt_segments();
             ssh-24099 [003] 76622.720651: funcgraph_exit:         1.097 us   |                                          }
             ssh-24099 [003] 76622.720652: funcgraph_entry:                   |                                          update_cfs_group() {
             ssh-24099 [003] 76622.720652: funcgraph_entry:        0.392 us   |                                            reweight_entity();
             ssh-24099 [003] 76622.720653: funcgraph_exit:         1.170 us   |                                          }
             ssh-24099 [003] 76622.720653: funcgraph_entry:        0.372 us   |                                          account_entity_enqueue();
             ssh-24099 [003] 76622.720654: funcgraph_entry:        0.328 us   |                                          place_entity();
             ssh-24099 [003] 76622.720655: funcgraph_entry:        0.414 us   |                                          __enqueue_entity();
             ssh-24099 [003] 76622.720655: funcgraph_exit:         7.231 us   |                                        }
             ssh-24099 [003] 76622.720656: funcgraph_entry:        0.330 us   |                                        hrtick_update();
             ssh-24099 [003] 76622.720656: funcgraph_exit:       + 15.804 us  |                                      }
             ssh-24099 [003] 76622.720754: funcgraph_entry:                   |                                  _raw_spin_unlock_irqrestore() {
             ssh-24099 [003] 76622.720755: funcgraph_entry:        0.394 us   |                                    preempt_count_sub();
             ssh-24099 [003] 76622.720755: funcgraph_exit:         1.360 us   |                                  }
             ssh-24099 [003] 76622.720755: funcgraph_exit:       + 38.876 us  |                                }
             ssh-24099 [003] 76622.720756: funcgraph_exit:       + 39.557 us  |                              }
             ssh-24099 [003] 76622.720756: funcgraph_exit:       + 40.250 us  |                            }
             ssh-24099 [003] 76622.720756: funcgraph_exit:       ! 135.698 us |                          }
             ssh-24099 [003] 76622.720757: funcgraph_entry:                   |                          _raw_spin_unlock_irqrestore() {
             ssh-24099 [003] 76622.720757: funcgraph_entry:        0.485 us   |                            preempt_count_sub();
             ssh-24099 [003] 76622.720760: funcgraph_exit:         2.867 us   |                          }
             ssh-24099 [003] 76622.720760: funcgraph_exit:       ! 140.851 us |                        }
             ssh-24099 [003] 76622.720761: funcgraph_exit:       ! 141.609 us |                      }
             ssh-24099 [003] 76622.720761: funcgraph_entry:                   |                      irq_exit() {
             ssh-24099 [003] 76622.720762: funcgraph_entry:        0.649 us   |                        irqtime_account_irq();
             ssh-24099 [003] 76622.720763: funcgraph_entry:        0.740 us   |                        preempt_count_sub();
             ssh-24099 [003] 76622.720764: funcgraph_entry:        0.604 us   |                        idle_cpu();
             ssh-24099 [003] 76622.720765: funcgraph_entry:        0.750 us   |                        rcu_irq_exit();
             ssh-24099 [003] 76622.720766: funcgraph_exit:         5.170 us   |                      }
             ssh-24099 [003] 76622.720767: funcgraph_exit:       ! 156.482 us |                    }
             ssh-24099 [003] 76622.720768: funcgraph_entry:                   |                    smp_irq_work_interrupt() {
             ssh-24099 [003] 76622.720768: funcgraph_entry:                   |                      irq_enter() {
             ssh-24099 [003] 76622.720769: funcgraph_entry:        0.665 us   |                        rcu_irq_enter();
             ssh-24099 [003] 76622.720770: funcgraph_entry:        0.662 us   |                        irqtime_account_irq();
             ssh-24099 [003] 76622.720771: funcgraph_entry:        0.611 us   |                        preempt_count_add();
             ssh-24099 [003] 76622.720772: funcgraph_exit:         3.970 us   |                      }
             ssh-24099 [003] 76622.720773: funcgraph_entry:                   |                      __wake_up() {
             ssh-24099 [003] 76622.720773: funcgraph_entry:                   |                        __wake_up_common_lock() {
             ssh-24099 [003] 76622.720774: funcgraph_entry:                   |                          __lock_text_start() {
             ssh-24099 [003] 76622.720774: funcgraph_entry:        0.415 us   |                            preempt_count_add();
             ssh-24099 [003] 76622.720775: funcgraph_exit:         1.355 us   |                          }
             ssh-24099 [003] 76622.720777: funcgraph_entry:        1.057 us   |                          __wake_up_common();
             ssh-24099 [003] 76622.720779: funcgraph_entry:                   |                          _raw_spin_unlock_irqrestore() {
             ssh-24099 [003] 76622.720779: funcgraph_entry:        0.799 us   |                            preempt_count_sub();
