CPU 2 is empty
cpus=4
             ssh-3222  [003]  4278.011918: funcgraph_entry:        0.396 us   |        idle_cpu();
             ssh-3222  [003]  4278.011919: funcgraph_entry:        0.452 us   |        rcu_irq_exit();
             ssh-3222  [003]  4278.011919: funcgraph_exit:         3.533 us   |      }
             ssh-3222  [003]  4278.011920: funcgraph_exit:       + 67.407 us  |    }
             ssh-3222  [003]  4278.011920: funcgraph_entry:                   |    __fdget() {
             ssh-3222  [003]  4278.011921: funcgraph_entry:        0.664 us   |      __fget_light();
             ssh-3222  [003]  4278.011921: funcgraph_exit:         1.347 us   |    }
             ssh-3222  [003]  4278.011922: funcgraph_entry:        0.440 us   |    security_file_ioctl();
             ssh-3222  [003]  4278.011923: funcgraph_entry:                   |    do_vfs_ioctl() {
             ssh-3222  [003]  4278.011924: funcgraph_entry:                   |      tty_ioctl() {
             ssh-3222  [003]  4278.011924: funcgraph_entry:        0.593 us   |        tty_paranoia_check.isra.3();
             ssh-3222  [003]  4278.011925: funcgraph_entry:        0.414 us   |        tty_jobctrl_ioctl();
             ssh-3222  [003]  4278.011926: funcgraph_entry:                   |        tty_ldisc_ref_wait() {
             ssh-3222  [003]  4278.011927: funcgraph_entry:        0.413 us   |          ldsem_down_read();
             ssh-3222  [003]  4278.011928: funcgraph_exit:         1.336 us   |        }
             ssh-3222  [003]  4278.011929: funcgraph_entry:                   |        n_tty_ioctl() {
             ssh-3222  [003]  4278.011929: funcgraph_entry:                   |          n_tty_ioctl_helper() {
             ssh-3222  [003]  4278.011930: funcgraph_entry:                   |            tty_mode_ioctl() {
             ssh-3222  [003]  4278.011930: funcgraph_entry:                   |              copy_termios() {
             ssh-3222  [003]  4278.011931: funcgraph_entry:        0.490 us   |                down_read();
             ssh-3222  [003]  4278.011931: funcgraph_entry:        0.422 us   |                up_read();
             ssh-3222  [003]  4278.011932: funcgraph_exit:         1.988 us   |              }
             ssh-3222  [003]  4278.011933: funcgraph_exit:         3.262 us   |            }
             ssh-3222  [003]  4278.011933: funcgraph_exit:         4.096 us   |          }
             ssh-3222  [003]  4278.011933: funcgraph_exit:         4.896 us   |        }
             ssh-3222  [003]  4278.011934: funcgraph_entry:                   |        tty_ldisc_deref() {
             ssh-3222  [003]  4278.011934: funcgraph_entry:        0.391 us   |          ldsem_up_read();
             ssh-3222  [003]  4278.011935: funcgraph_exit:         1.190 us   |        }
             ssh-3222  [003]  4278.011935: funcgraph_exit:       + 11.681 us  |      }
             ssh-3222  [003]  4278.011936: funcgraph_exit:       + 12.857 us  |    }
             ssh-3222  [003]  4278.011936: funcgraph_exit:       + 88.683 us  |  }
             ssh-3222  [001]  4278.019697: funcgraph_entry:                   |  ksys_ioctl() {
             ssh-3222  [001]  4278.019702: funcgraph_entry:                   |    smp_irq_work_interrupt() {
             ssh-3222  [001]  4278.019702: funcgraph_entry:                   |      irq_enter() {
             ssh-3222  [001]  4278.019703: funcgraph_entry:        0.526 us   |        rcu_irq_enter();
             ssh-3222  [001]  4278.019704: funcgraph_entry:        0.562 us   |        irqtime_account_irq();
             ssh-3222  [001]  4278.019705: funcgraph_entry:        0.504 us   |        preempt_count_add();
             ssh-3222  [001]  4278.019706: funcgraph_exit:         3.276 us   |      }
             ssh-3222  [001]  4278.019707: funcgraph_entry:                   |      __wake_up() {
             ssh-3222  [001]  4278.019707: funcgraph_entry:                   |        __wake_up_common_lock() {
             ssh-3222  [001]  4278.019708: funcgraph_entry:                   |          __lock_text_start() {
             ssh-3222  [001]  4278.019708: funcgraph_entry:        0.422 us   |            preempt_count_add();
             ssh-3222  [001]  4278.019709: funcgraph_exit:         1.167 us   |          }
             ssh-3222  [001]  4278.019709: funcgraph_entry:        0.422 us   |          __wake_up_common();
             ssh-3222  [001]  4278.019710: funcgraph_entry:                   |          _raw_spin_unlock_irqrestore() {
